t,re,im,norm_sq
0.0000490000,-0.0000000000,0.0000000000,1.0214301026
0.0000500000,-0.0000000000,0.0000000000,1.0214627104
0.0000510000,-0.0000000000,0.0000000000,1.0214953200
0.0000520000,-0.0000000000,0.0000000000,1.0215279315
0.0000530000,-0.0000000000,0.0000000000,1.0215605447
0.0000540000,-0.0000000000,0.0000000000,1.0215931596
0.0000550000,-0.0000000000,0.0000000000,1.0216257764
0.0000560000,-0.0000000000,0.0000000000,1.0216583949
0.0000570000,-0.0000000000,0.0000000000,1.0216910153
0.0000580000,-0.0000000000,0.0000000000,1.0217236374
0.0000590000,-0.0000000000,0.0000000000,1.0217562613
0.0000600000,-0.0000000000,0.0000000000,1.0217888870
0.0000610000,-0.0000000000,0.0000000000,1.0218215144
0.0000620000,-0.0000000000,0.0000000000,1.0218541437
0.0000630000,-0.0000000000,0.0000000000,1.0218867747
0.0000640000,-0.0000000000,0.0000000000,1.0219194075
0.0000650000,-0.0000000000,0.0000000000,1.0219520421
0.0000660000,-0.0000000000,0.0000000000,1.0219846785
0.0000670000,-0.0000000000,0.0000000000,1.0220173166
0.0000680000,-0.0000000000,0.0000000000,1.0220499566
0.0000690000,-0.0000000000,0.0000000000,1.0220825983
0.0000700000,-0.0000000000,0.0000000000,1.0221152419
0.0000710000,-0.0000000000,0.0000000000,1.0221478872
0.0000720000,-0.0000000000,0.0000000000,1.0221805343
0.0000730000,-0.0000000000,0.0000000000,1.0222131831
0.0000740000,-0.0000000000,0.0000000000,1.0222458338
0.0000750000,-0.0000000000,0.0000000000,1.0222784862
0.0000760000,-0.0000000000,0.0000000000,1.0223111405
0.0000770000,-0.0000000000,0.0000000000,1.0223437965
0.0000780000,-0.0000000000,0.0000000000,1.0223764543
0.0000790000,-0.0000000000,0.0000000000,1.0224091139
0.0000800000,-0.0000000000,0.0000000000,1.0224417752
0.0000810000,-0.0000000000,0.0000000000,1.0224744384
0.0000820000,-0.0000000000,0.0000000000,1.0225071033
0.0000830000,-0.0000000000,0.0000000000,1.0225397701
0.0000840000,-0.0000000000,0.0000000000,1.0225724386
0.0000850000,-0.0000000000,0.0000000000,1.0226051089
0.0000860000,-0.0000000000,0.0000000000,1.0226377810
0.0000870000,-0.0000000000,0.0000000000,1.0226704549
0.0000880000,-0.0000000000,0.0000000000,1.0227031305
0.0000890000,-0.0000000000,0.0000000000,1.0227358080
0.0000900000,-0.0000000000,0.0000000000,1.0227684872
0.0000910000,-0.0000000000,0.0000000000,1.0228011683
0.0000920000,-0.0000000000,0.0000000000,1.0228338511
0.0000930000,-0.0000000000,0.0000000000,1.0228665357
0.0000940000,-0.0000000000,0.0000000000,1.0228992221
0.0000950000,-0.0000000000,0.0000000000,1.0229319102
0.0000960000,-0.0000000000,0.0000000000,1.0229646002
0.0000970000,-0.0000000000,0.0000000000,1.0229972920
0.0000980000,-0.0000000000,0.0000000000,1.0230299855
0.0000990000,-0.0000000000,0.0000000000,1.0230626808
0.0001000000,-0.0000000000,0.0000000000,1.0230953779
0.0001010000,-0.0000000000,0.0000000000,1.0231280769
0.0001020000,-0.0000000000,0.0000000000,1.0231607775
0.0001030000,-0.0000000000,0.0000000000,1.0231934800
0.0001040000,-0.0000000000,0.0000000000,1.0232261843
0.0001050000,-0.0000000000,0.0000000000,1.0232588904
0.0001060000,-0.0000000000,0.0000000000,1.0232915982
0.0001070000,-0.0000000000,0.0000000000,1.0233243078
0.0001080000,-0.0000000000,0.0000000000,1.0233570193
0.0001090000,-0.0000000000,0.0000000000,1.0233897325
0.0001100000,-0.0000000000,0.0000000000,1.0234224475
0.0001110000,-0.0000000000,0.0000000000,1.0234551643
0.0001120000,-0.0000000000,0.0000000000,1.0234878829
0.0001130000,-0.0000000000,0.0000000000,1.0235206033
0.0001140000,-0.0000000000,0.0000000000,1.0235533254
0.0001150000,-0.0000000000,0.0000000000,1.0235860494
0.0001160000,-0.0000000000,0.0000000000,1.0236187751
0.0001170000,-0.0000000000,0.0000000000,1.0236515027
0.0001180000,-0.0000000000,0.0000000000,1.0236842320
0.0001190000,-0.0000000000,0.0000000000,1.0237169631
0.0001200000,-0.0000000000,0.0000000000,1.0237496960
0.0001210000,-0.0000000000,0.0000000000,1.0237824307
0.0001220000,-0.0000000000,0.0000000000,1.0238151672
0.0001230000,-0.0000000000,0.0000000000,1.0238479055
0.0001240000,-0.0000000000,0.0000000000,1.0238806456
0.0001250000,-0.0000000000,0.0000000000,1.0239133874
0.0001260000,-0.0000000000,0.0000000000,1.0239461311
0.0001270000,-0.0000000000,0.0000000000,1.0239788765
0.0001280000,-0.0000000000,0.0000000000,1.0240116238
0.0001290000,-0.0000000000,0.0000000000,1.0240443728
0.0001300000,-0.0000000000,0.0000000000,1.0240771236
0.0001310000,-0.0000000000,0.0000000000,1.0241098762
0.0001320000,-0.0000000000,0.0000000000,1.0241426306
0.0001330000,-0.0000000000,0.0000000000,1.0241753868
0.0001340000,-0.0000000000,0.0000000000,1.0242081448
0.0001350000,-0.0000000000,0.0000000000,1.0242409046
0.0001360000,-0.0000000000,0.0000000000,1.0242736662
0.0001370000,-0.0000000000,0.0000000000,1.0243064295
0.0001380000,-0.0000000000,0.0000000000,1.0243391947
0.0001390000,-0.0000000000,0.0000000000,1.0243719616
0.0001400000,-0.0000000000,0.0000000000,1.0244047304
0.0001410000,-0.0000000000,0.0000000000,1.0244375009
0.0001420000,-0.0000000000,0.0000000000,1.0244702733
0.0001430000,-0.0000000000,0.0000000000,1.0245030474
0.0001440000,-0.0000000000,0.0000000000,1.0245358233
0.0001450000,-0.0000000000,0.0000000000,1.0245686010
0.0001460000,-0.0000000000,0.0000000000,1.0246013805
0.0001470000,-0.0000000000,0.0000000000,1.0246341618
0.0001480000,-0.0000000000,0.0000000000,1.0246669449
0.0001490000,-0.0000000000,0.0000000000,1.0246997298
0.0001500000,-0.0000000000,0.0000000000,1.0247325165
0.0001510000,-0.0000000000,0.0000000000,1.0247653050
0.0001520000,-0.0000000000,0.0000000000,1.0247980952
0.0001530000,-0.0000000000,0.0000000000,1.0248308873
0.0001540000,-0.0000000000,0.0000000000,1.0248636812
0.0001550000,-0.0000000000,0.0000000000,1.0248964768
0.0001560000,-0.0000000000,0.0000000000,1.0249292743
0.0001570000,-0.0000000000,0.0000000000,1.0249620735
0.0001580000,-0.0000000000,0.0000000000,1.0249948746
0.0001590000,-0.0000000000,0.0000000000,1.0250276774
0.0001600000,-0.0000000000,0.0000000000,1.0250604820
0.0001610000,-0.0000000000,0.0000000000,1.0250932885
0.0001620000,-0.0000000000,0.0000000000,1.0251260967
0.0001630000,-0.0000000000,0.0000000000,1.0251589067
0.0001640000,-0.0000000000,0.0000000000,1.0251917185
0.0001650000,-0.0000000000,0.0000000000,1.0252245321
0.0001660000,-0.0000000000,0.0000000000,1.0252573475
0.0001670000,-0.0000000000,0.0000000000,1.0252901647
0.0001680000,-0.0000000000,0.0000000000,1.0253229837
0.0001690000,-0.0000000000,0.0000000000,1.0253558045
0.0001700000,-0.0000000000,0.0000000000,1.0253886271
0.0001710000,-0.0000000000,0.0000000000,1.0254214515
0.0001720000,-0.0000000000,0.0000000000,1.0254542777
0.0001730000,-0.0000000000,0.0000000000,1.0254871057
0.0001740000,-0.0000000000,0.0000000000,1.0255199355
0.0001750000,-0.0000000000,0.0000000000,1.0255527671
0.0001760000,-0.0000000000,0.0000000000,1.0255856004
0.0001770000,-0.0000000000,0.0000000000,1.0256184356
0.0001780000,-0.0000000000,0.0000000000,1.0256512726
0.0001790000,-0.0000000000,0.0000000000,1.0256841113
0.0001800000,-0.0000000000,0.0000000000,1.0257169519
0.0001810000,-0.0000000000,0.0000000000,1.0257497943
0.0001820000,-0.0000000000,0.0000000000,1.0257826384
0.0001830000,-0.0000000000,0.0000000000,1.0258154844
0.0001840000,-0.0000000000,0.0000000000,1.0258483322
0.0001850000,-0.0000000000,0.0000000000,1.0258811817
0.0001860000,-0.0000000000,0.0000000000,1.0259140331
0.0001870000,-0.0000000000,0.0000000000,1.0259468862
0.0001880000,-0.0000000000,0.0000000000,1.0259797412
0.0001890000,-0.0000000000,0.0000000000,1.0260125979
0.0001900000,-0.0000000000,0.0000000000,1.0260454565
0.0001910000,-0.0000000000,0.0000000000,1.0260783168
0.0001920000,-0.0000000000,0.0000000000,1.0261111790
0.0001930000,-0.0000000000,0.0000000000,1.0261440429
0.0001940000,-0.0000000000,0.0000000000,1.0261769087
0.0001950000,-0.0000000000,0.0000000000,1.0262097762
0.0001960000,-0.0000000000,0.0000000000,1.0262426456
0.0001970000,-0.0000000000,0.0000000000,1.0262755167
0.0001980000,-0.0000000000,0.0000000000,1.0263083897
0.0001990000,-0.0000000000,0.0000000000,1.0263412644
0.0002000000,-0.0000000000,0.0000000000,1.0263741410
0.0002010000,-0.0000000000,0.0000000000,1.0264070193
0.0002020000,-0.0000000000,0.0000000000,1.0264398995
0.0002030000,-0.0000000000,0.0000000000,1.0264727814
0.0002040000,-0.0000000000,0.0000000000,1.0265056652
0.0002050000,-0.0000000000,0.0000000000,1.0265385507
0.0002060000,-0.0000000000,0.0000000000,1.0265714381
0.0002070000,-0.0000000000,0.0000000000,1.0266043272
0.0002080000,-0.0000000000,0.0000000000,1.0266372182
0.0002090000,-0.0000000000,0.0000000000,1.0266701109
0.0002100000,-0.0000000000,0.0000000000,1.0267030055
0.0002110000,-0.0000000000,0.0000000000,1.0267359018
0.0002120000,-0.0000000000,0.0000000000,1.0267688000
0.0002130000,-0.0000000000,0.0000000000,1.0268017000
0.0002140000,-0.0000000000,0.0000000000,1.0268346017
0.0002150000,-0.0000000000,0.0000000000,1.0268675053
0.0002160000,-0.0000000000,0.0000000000,1.0269004107
0.0002170000,-0.0000000000,0.0000000000,1.0269333178
0.0002180000,-0.0000000000,0.0000000000,1.0269662268
0.0002190000,-0.0000000000,0.0000000000,1.0269991376
0.0002200000,-0.0000000000,0.0000000000,1.0270320501
0.0002210000,-0.0000000000,0.0000000000,1.0270649645
0.0002220000,-0.0000000000,0.0000000000,1.0270978807
0.0002230000,-0.0000000000,0.0000000000,1.0271307987
0.0002240000,-0.0000000000,0.0000000000,1.0271637185
0.0002250000,-0.0000000000,0.0000000000,1.0271966401
0.0002260000,-0.0000000000,0.0000000000,1.0272295635
0.0002270000,-0.0000000000,0.0000000000,1.0272624887
0.0002280000,-0.0000000000,0.0000000000,1.0272954157
0.0002290000,-0.0000000000,0.0000000000,1.0273283445
0.0002300000,-0.0000000000,0.0000000000,1.0273612751
0.0002310000,-0.0000000000,0.0000000000,1.0273942075
0.0002320000,-0.0000000000,0.0000000000,1.0274271417
0.0002330000,-0.0000000000,0.0000000000,1.0274600777
0.0002340000,-0.0000000000,0.0000000000,1.0274930156
0.0002350000,-0.0000000000,0.0000000000,1.0275259552
0.0002360000,-0.0000000000,0.0000000000,1.0275588966
0.0002370000,-0.0000000000,0.0000000000,1.0275918399
0.0002380000,-0.0000000000,0.0000000000,1.0276247849
0.0002390000,-0.0000000000,0.0000000000,1.0276577318
0.0002400000,-0.0000000000,0.0000000000,1.0276906804
0.0002410000,-0.0000000000,0.0000000000,1.0277236309
0.0002420000,-0.0000000000,0.0000000000,1.0277565831
0.0002430000,-0.0000000000,0.0000000000,1.0277895372
0.0002440000,-0.0000000000,0.0000000000,1.0278224931
0.0002450000,-0.0000000000,0.0000000000,1.0278554508
0.0002460000,-0.0000000000,0.0000000000,1.0278884103
0.0002470000,-0.0000000000,0.0000000000,1.0279213716
0.0002480000,-0.0000000000,0.0000000000,1.0279543347
0.0002490000,-0.0000000000,0.0000000000,1.0279872996
0.0002500000,-0.0000000000,0.0000000000,1.0280202663
0.0002510000,-0.0000000000,0.0000000000,1.0280532348
0.0002520000,-0.0000000000,0.0000000000,1.0280862051
0.0002530000,-0.0000000000,0.0000000000,1.0281191772
0.0002540000,-0.0000000000,0.0000000000,1.0281521512
0.0002550000,-0.0000000000,0.0000000000,1.0281851269
0.0002560000,-0.0000000000,0.0000000000,1.0282181045
0.0002570000,-0.0000000000,0.0000000000,1.0282510838
0.0002580000,-0.0000000000,0.0000000000,1.0282840650
0.0002590000,-0.0000000000,0.0000000000,1.0283170480
0.0002600000,-0.0000000000,0.0000000000,1.0283500328
0.0002610000,-0.0000000000,0.0000000000,1.0283830193
0.0002620000,-0.0000000000,0.0000000000,1.0284160077
0.0002630000,-0.0000000000,0.0000000000,1.0284489979
0.0002640000,-0.0000000000,0.0000000000,1.0284819900
0.0002650000,-0.0000000000,0.0000000000,1.0285149838
0.0002660000,-0.0000000000,0.0000000000,1.0285479794
0.0002670000,-0.0000000000,0.0000000000,1.0285809768
0.0002680000,-0.0000000000,0.0000000000,1.0286139761
0.0002690000,-0.0000000000,0.0000000000,1.0286469771
0.0002700000,-0.0000000000,0.0000000000,1.0286799800
0.0002710000,-0.0000000000,0.0000000000,1.0287129847
0.0002720000,-0.0000000000,0.0000000000,1.0287459911
0.0002730000,-0.0000000000,0.0000000000,1.0287789994
0.0002740000,-0.0000000000,0.0000000000,1.0288120095
0.0002750000,-0.0000000000,0.0000000000,1.0288450214
0.0002760000,-0.0000000000,0.0000000000,1.0288780352
0.0002770000,-0.0000000000,0.0000000000,1.0289110507
0.0002780000,-0.0000000000,0.0000000000,1.0289440680
0.0002790000,-0.0000000000,0.0000000000,1.0289770872
0.0002800000,-0.0000000000,0.0000000000,1.0290101081
0.0002810000,-0.0000000000,0.0000000000,1.0290431309
0.0002820000,-0.0000000000,0.0000000000,1.0290761554
0.0002830000,-0.0000000000,0.0000000000,1.0291091818
0.0002840000,-0.0000000000,0.0000000000,1.0291422100
0.0002850000,-0.0000000000,0.0000000000,1.0291752400
0.0002860000,-0.0000000000,0.0000000000,1.0292082718
0.0002870000,-0.0000000000,0.0000000000,1.0292413055
0.0002880000,-0.0000000000,0.0000000000,1.0292743409
0.0002890000,-0.0000000000,0.0000000000,1.0293073782
0.0002900000,-0.0000000000,0.0000000000,1.0293404172
0.0002910000,-0.0000000000,0.0000000000,1.0293734581
0.0002920000,-0.0000000000,0.0000000000,1.0294065008
0.0002930000,-0.0000000000,0.0000000000,1.0294395453
0.0002940000,-0.0000000000,0.0000000000,1.0294725916
0.0002950000,-0.0000000000,0.0000000000,1.0295056397
0.0002960000,-0.0000000000,0.0000000000,1.0295386896
0.0002970000,-0.0000000000,0.0000000000,1.0295717414
0.0002980000,-0.0000000000,0.0000000000,1.0296047949
0.0002990000,-0.0000000000,0.0000000000,1.0296378503
0.0003000000,-0.0000000000,0.0000000000,1.0296709074
0.0003010000,-0.0000000000,0.0000000000,1.0297039664
0.0003020000,-0.0000000000,0.0000000000,1.0297370272
0.0003030000,-0.0000000000,0.0000000000,1.0297700898
0.0003040000,-0.0000000000,0.0000000000,1.0298031543
0.0003050000,-0.0000000000,0.0000000000,1.0298362205
0.0003060000,-0.0000000000,0.0000000000,1.0298692886
0.0003070000,-0.0000000000,0.0000000000,1.0299023584
0.0003080000,-0.0000000000,0.0000000000,1.0299354301
0.0003090000,-0.0000000000,0.0000000000,1.0299685036
0.0003100000,-0.0000000000,0.0000000000,1.0300015789
0.0003110000,-0.0000000000,0.0000000000,1.0300346560
0.0003120000,-0.0000000000,0.0000000000,1.0300677350
0.0003130000,-0.0000000000,0.0000000000,1.0301008157
0.0003140000,-0.0000000000,0.0000000000,1.0301338983
0.0003150000,-0.0000000000,0.0000000000,1.0301669826
0.0003160000,-0.0000000000,0.0000000000,1.0302000688
0.0003170000,-0.0000000000,0.0000000000,1.0302331568
0.0003180000,-0.0000000000,0.0000000000,1.0302662466
0.0003190000,-0.0000000000,0.0000000000,1.0302993383
0.0003200000,-0.0000000000,0.0000000000,1.0303324317
0.0003210000,-0.0000000000,0.0000000000,1.0303655270
0.0003220000,-0.0000000000,0.0000000000,1.0303986241
0.0003230000,-0.0000000000,0.0000000000,1.0304317229
0.0003240000,-0.0000000000,0.0000000000,1.0304648237
0.0003250000,-0.0000000000,0.0000000000,1.0304979262
0.0003260000,-0.0000000000,0.0000000000,1.0305310305
0.0003270000,-0.0000000000,0.0000000000,1.0305641367
0.0003280000,-0.0000000000,0.0000000000,1.0305972446
0.0003290000,-0.0000000000,0.0000000000,1.0306303544
0.0003300000,-0.0000000000,0.0000000000,1.0306634660
0.0003310000,-0.0000000000,0.0000000000,1.0306965794
0.0003320000,-0.0000000000,0.0000000000,1.0307296947
0.0003330000,-0.0000000000,0.0000000000,1.0307628117
0.0003340000,-0.0000000000,0.0000000000,1.0307959306
0.0003350000,-0.0000000000,0.0000000000,1.0308290513
0.0003360000,-0.0000000000,0.0000000000,1.0308621738
0.0003370000,-0.0000000000,0.0000000000,1.0308952981
0.0003380000,-0.0000000000,0.0000000000,1.0309284242
0.0003390000,-0.0000000000,0.0000000000,1.0309615521
0.0003400000,-0.0000000000,0.0000000000,1.0309946819
0.0003410000,-0.0000000000,0.0000000000,1.0310278135
0.0003420000,-0.0000000000,0.0000000000,1.0310609469
0.0003430000,-0.0000000000,0.0000000000,1.0310940821
0.0003440000,-0.0000000000,0.0000000000,1.0311272191
0.0003450000,-0.0000000000,0.0000000000,1.0311603580
0.0003460000,-0.0000000000,0.0000000000,1.0311934987
0.0003470000,-0.0000000000,0.0000000000,1.0312266411
0.0003480000,-0.0000000000,0.0000000000,1.0312597855
0.0003490000,-0.0000000000,0.0000000000,1.0312929316
0.0003500000,-0.0000000000,0.0000000000,1.0313260795
0.0003510000,-0.0000000000,0.0000000000,1.0313592293
0.0003520000,-0.0000000000,0.0000000000,1.0313923809
0.0003530000,-0.0000000000,0.0000000000,1.0314255343
0.0003540000,-0.0000000000,0.0000000000,1.0314586895
0.0003550000,-0.0000000000,0.0000000000,1.0314918465
0.0003560000,-0.0000000000,0.0000000000,1.0315250054
0.0003570000,0.0000000000,0.0000000000,1.0315581660
0.0003580000,0.0000000000,0.0000000000,1.0315913285
0.0003590000,0.0000000000,0.0000000000,1.0316244928
0.0003600000,0.0000000000,0.0000000000,1.0316576590
0.0003610000,0.0000000000,0.0000000000,1.0316908269
0.0003620000,0.0000000000,0.0000000000,1.0317239967
0.0003630000,0.0000000000,0.0000000000,1.0317571683
0.0003640000,0.0000000000,0.0000000000,1.0317903417
0.0003650000,0.0000000000,0.0000000000,1.0318235169
0.0003660000,0.0000000000,0.0000000000,1.0318566940
0.0003670000,0.0000000000,0.0000000000,1.0318898728
0.0003680000,0.0000000000,0.0000000000,1.0319230535
0.0003690000,0.0000000000,0.0000000000,1.0319562361
0.0003700000,0.0000000000,0.0000000000,1.0319894204
0.0003710000,0.0000000000,0.0000000000,1.0320226065
0.0003720000,0.0000000000,0.0000000000,1.0320557945
0.0003730000,0.0000000000,0.0000000000,1.0320889843
0.0003740000,0.0000000000,0.0000000000,1.0321221759
0.0003750000,0.0000000000,0.0000000000,1.0321553694
0.0003760000,0.0000000000,0.0000000000,1.0321885646
0.0003770000,0.0000000000,0.0000000000,1.0322217617
0.0003780000,0.0000000000,0.0000000000,1.0322549606
0.0003790000,0.0000000000,0.0000000000,1.0322881613
0.0003800000,0.0000000000,0.0000000000,1.0323213639
0.0003810000,0.0000000000,0.0000000000,1.0323545683
0.0003820000,0.0000000000,0.0000000000,1.0323877744
0.0003830000,0.0000000000,0.0000000000,1.0324209825
0.0003840000,0.0000000000,0.0000000000,1.0324541923
0.0003850000,0.0000000000,0.0000000000,1.0324874040
0.0003860000,0.0000000000,0.0000000000,1.0325206174
0.0003870000,0.0000000000,0.0000000000,1.0325538327
0.0003880000,0.0000000000,0.0000000000,1.0325870499
0.0003890000,0.0000000000,0.0000000000,1.0326202688
0.0003900000,0.0000000000,0.0000000000,1.0326534896
0.0003910000,0.0000000000,0.0000000000,1.0326867122
0.0003920000,0.0000000000,0.0000000000,1.0327199366
0.0003930000,0.0000000000,0.0000000000,1.0327531628
0.0003940000,0.0000000000,0.0000000000,1.0327863909
0.0003950000,0.0000000000,0.0000000000,1.0328196208
0.0003960000,0.0000000000,0.0000000000,1.0328528525
0.0003970000,0.0000000000,0.0000000000,1.0328860861
0.0003980000,0.0000000000,0.0000000000,1.0329193214
0.0003990000,0.0000000000,0.0000000000,1.0329525586
0.0004000000,0.0000000000,0.0000000000,1.0329857976
0.0004010000,0.0000000000,0.0000000000,1.0330190384
0.0004020000,0.0000000000,0.0000000000,1.0330522811
0.0004030000,0.0000000000,0.0000000000,1.0330855256
0.0004040000,0.0000000000,0.0000000000,1.0331187719
0.0004050000,0.0000000000,0.0000000000,1.0331520200
0.0004060000,0.0000000000,0.0000000000,1.0331852700
0.0004070000,0.0000000000,0.0000000000,1.0332185218
0.0004080000,0.0000000000,0.0000000000,1.0332517754
0.0004090000,0.0000000000,0.0000000000,1.0332850308
0.0004100000,0.0000000000,0.0000000000,1.0333182881
0.0004110000,0.0000000000,0.0000000000,1.0333515472
0.0004120000,0.0000000000,0.0000000000,1.0333848081
0.0004130000,0.0000000000,0.0000000000,1.0334180708
0.0004140000,0.0000000000,0.0000000000,1.0334513354
0.0004150000,0.0000000000,0.0000000000,1.0334846018
0.0004160000,0.0000000000,0.0000000000,1.0335178700
0.0004170000,0.0000000000,0.0000000000,1.0335511400
0.0004180000,0.0000000000,0.0000000000,1.0335844119
0.0004190000,0.0000000000,0.0000000000,1.0336176856
0.0004200000,0.0000000000,0.0000000000,1.0336509611
0.0004210000,0.0000000000,0.0000000000,1.0336842385
0.0004220000,0.0000000000,0.0000000000,1.0337175177
0.0004230000,0.0000000000,0.0000000000,1.0337507987
0.0004240000,0.0000000000,0.0000000000,1.0337840815
0.0004250000,0.0000000000,0.0000000000,1.0338173662
0.0004260000,0.0000000000,0.0000000000,1.0338506526
0.0004270000,0.0000000000,0.0000000000,1.0338839410
0.0004280000,0.0000000000,0.0000000000,1.0339172311
0.0004290000,0.0000000000,0.0000000000,1.0339505231
0.0004300000,0.0000000000,0.0000000000,1.0339838169
0.0004310000,0.0000000000,0.0000000000,1.0340171125
0.0004320000,0.0000000000,0.0000000000,1.0340504099
0.0004330000,0.0000000000,0.0000000000,1.0340837092
0.0004340000,0.0000000000,0.0000000000,1.0341170103
0.0004350000,0.0000000000,0.0000000000,1.0341503133
0.0004360000,0.0000000000,0.0000000000,1.0341836180
0.0004370000,0.0000000000,0.0000000000,1.0342169246
0.0004380000,0.0000000000,0.0000000000,1.0342502331
0.0004390000,0.0000000000,0.0000000000,1.0342835433
0.0004400000,0.0000000000,0.0000000000,1.0343168554
0.0004410000,0.0000000000,0.0000000000,1.0343501693
0.0004420000,0.0000000000,0.0000000000,1.0343834851
0.0004430000,0.0000000000,0.0000000000,1.0344168026
0.0004440000,0.0000000000,0.0000000000,1.0344501220
0.0004450000,0.0000000000,0.0000000000,1.0344834433
0.0004460000,0.0000000000,0.0000000000,1.0345167663
0.0004470000,0.0000000000,0.0000000000,1.0345500912
0.0004480000,0.0000000000,0.0000000000,1.0345834179
0.0004490000,0.0000000000,0.0000000000,1.0346167465
0.0004500000,0.0000000000,0.0000000000,1.0346500769
0.0004510000,0.0000000000,0.0000000000,1.0346834091
0.0004520000,0.0000000000,0.0000000000,1.0347167431
0.0004530000,0.0000000000,0.0000000000,1.0347500790
0.0004540000,0.0000000000,0.0000000000,1.0347834167
0.0004550000,0.0000000000,0.0000000000,1.0348167563
0.0004560000,0.0000000000,0.0000000000,1.0348500976
0.0004570000,0.0000000000,0.0000000000,1.0348834408
0.0004580000,0.0000000000,0.0000000000,1.0349167859
0.0004590000,0.0000000000,0.0000000000,1.0349501327
0.0004600000,0.0000000000,0.0000000000,1.0349834814
0.0004610000,0.0000000000,0.0000000000,1.0350168319
0.0004620000,0.0000000000,0.0000000000,1.0350501843
0.0004630000,0.0000000000,0.0000000000,1.0350835385
0.0004640000,0.0000000000,0.0000000000,1.0351168945
0.0004650000,0.0000000000,0.0000000000,1.0351502524
0.0004660000,0.0000000000,0.0000000000,1.0351836121
0.0004670000,0.0000000000,0.0000000000,1.0352169736
0.0004680000,0.0000000000,0.0000000000,1.0352503369
0.0004690000,0.0000000000,0.0000000000,1.0352837021
0.0004700000,0.0000000000,0.0000000000,1.0353170691
0.0004710000,0.0000000000,0.0000000000,1.0353504380
0.0004720000,0.0000000000,0.0000000000,1.0353838087
0.0004730000,0.0000000000,0.0000000000,1.0354171812
0.0004740000,0.0000000000,0.0000000000,1.0354505555
0.0004750000,0.0000000000,0.0000000000,1.0354839317
0.0004760000,0.0000000000,0.0000000000,1.0355173097
0.0004770000,0.0000000000,0.0000000000,1.0355506896
0.0004780000,0.0000000000,0.0000000000,1.0355840713
0.0004790000,0.0000000000,0.0000000000,1.0356174548
0.0004800000,0.0000000000,0.0000000000,1.0356508401
0.0004810000,0.0000000000,0.0000000000,1.0356842273
0.0004820000,0.0000000000,0.0000000000,1.0357176164
0.0004830000,0.0000000000,0.0000000000,1.0357510072
0.0004840000,0.0000000000,0.0000000000,1.0357843999
0.0004850000,0.0000000000,0.0000000000,1.0358177944
0.0004860000,0.0000000000,0.0000000000,1.0358511908
0.0004870000,0.0000000000,0.0000000000,1.0358845890
